Date,Tech_index,Non_tech_index
2006-10-30,1046.26001,1045.530029
2006-10-31,1048.619995,1045.51001
2006-11-01,1032.619995,1027.579956
2006-11-02,1033.849976,1031.880005
2006-11-03,1035.410034,1025.640015
2006-11-06,1055.209961,1045.050049
2006-11-07,1065.48999,1050.790039
2006-11-08,1071.160034,1057.430054
2006-11-09,1063.869995,1050.189941
2006-11-10,1070.52002,1059.420044
2006-11-13,1086.150024,1063.160034
2006-11-14,1101.849976,1072.089966
2006-11-15,1102.910034,1082.650024
2006-11-16,1105.050049,1084.140015
2006-11-17,1105.150024,1083.089966
2006-11-20,1113.709961,1080.060059
2006-11-21,1115.689941,1082.800049
2006-11-22,1128.910034,1089.579956
2006-11-24,1125.650024,1083.930054
2006-11-27,1092.859985,1068.089966
2006-11-28,1095,1068.680054
2006-11-29,1098.589966,1080.439941
2006-11-30,1104.670044,1081.76001
2006-12-01,1089.52002,1076.819946
2006-12-04,1108.030029,1091.26001
2006-12-05,1105.199951,1095.810059
2006-12-06,1102.170044,1097.030029
2006-12-07,1088.660034,1088.790039
2006-12-08,1089.76001,1093.430054
2006-12-11,1091.02002,1097.780029
2006-12-12,1085.689941,1095.199951
2006-12-13,1083.859985,1093.72998
2006-12-14,1101.109985,1106.390015
2006-12-15,1104.98999,1109.26001
2006-12-18,1094.5,1100.319946
2006-12-19,1087.839966,1097.400024
2006-12-20,1086.189941,1092.660034
2006-12-21,1078.209961,1089.02002
2006-12-22,1066.849976,1080.349976
2006-12-26,1071.550049,1082.599976
2006-12-27,1078.939941,1089.930054
2006-12-28,1076.119995,1086.859985
2006-12-29,1072.329956,1082.069946
2007-01-03,1075.910034,1085.430054
2007-01-04,1097.079956,1096.060059
2007-01-05,1090.930054,1092.869995
2007-01-08,1093.439941,1092.880005
2007-01-09,1096.359985,1093.810059
2007-01-10,1110.660034,1104.430054
2007-01-11,1119.180054,1117.900024
2007-01-12,1122.550049,1130.77002
2007-01-16,1113.439941,1135.699951
2007-01-17,1104.069946,1130.02002
2007-01-18,1070.050049,1123.089966
2007-01-19,1072.98999,1122.550049
2007-01-22,1062.030029,1112.689941
2007-01-23,1062.349976,1112.359985
2007-01-24,1087.030029,1124.25
2007-01-25,1073.719971,1104.280029
2007-01-26,1075.459961,1100.48999
2007-01-29,1073.51001,1104.949951
2007-01-30,1077.97998,1107.459961
2007-01-31,1078.530029,1121.140015
2007-02-01,1082.910034,1124.469971
2007-02-02,1089.22998,1131.52002
2007-02-05,1093.920044,1130.150024
2007-02-06,1090.530029,1129.630005
